accusatory	showing that you think someone did something wrong	Her accusatory tone made him feel guilty even though he was not at fault.
acidity	the level of acid in something	The acidity of lemon juice makes it taste sour.
acquaintance	a person you know slightly but who is not a close friend	She is an acquaintance from school, not someone I hang out with regularly.
adjoining	next to or joined with something	The adjoining rooms shared a door between them.
adornment	a decorative item added for beauty	The gold necklace was her favorite adornment for special occasions.
affirmation	a statement that something is true or a sign of support	His nod was an affirmation that he agreed with the plan.
amnesty	an official pardon for people who have broken the law	The government granted amnesty to the prisoners of war.
animated	full of life and energy, or made to appear to move	He gave an animated description of his trip adventures.
antagonist	a person who opposes or fights against the main character	The villain is the antagonist in most superhero stories.
ardent	showing very strong feelings or enthusiasm	She was an ardent supporter of the school basketball team.
aristocracy	the highest social class, often with special privileges	In old England, the aristocracy lived in grand estates.
articulation	the clear speaking of words or the expression of thoughts	Her articulation was so clear that everyone understood her speech.
aspirant	a person who hopes to achieve something	Every aspirant for the team practiced extra hours after school.
assertion	a confident statement that something is true	His assertion that the project would succeed turned out to be correct.
astute	very good at grasping situations quickly	The astute detective noticed the small detail everyone else missed.
atrophy	to become weaker because of not being used	Muscles will atrophy if you don't exercise them regularly.
audacity	bold or daring behavior that might seem rude	He had the audacity to ask the principal to cancel homework.
auspicious	showing signs that something will be successful	A sunny morning seemed like an auspicious start to field day.
authoritarian	demanding that people obey rules fully without question	The authoritarian ruler did not allow anyone to disagree.
autonomy	the right to govern yourself or make your own decisions	Teenagers often want more autonomy from their parents.
avarice	an extreme desire for wealth or money	The king's avarice led him to raise taxes on the poorest people.
avid	very eager and keen	He is an avid reader who finishes three books every week.
axiom	a statement accepted as true without proof	It is an axiom in math that a whole is greater than any of its parts.
belligerent	hostile and ready to fight	The belligerent bully was always picking arguments with classmates.
benevolence	the quality of being kind and wanting to help others	The benevolence of the donors helped build a new playground.
bewilder	to confuse someone so much they do not know what to do	The magic trick bewildered the entire crowd.
blight	a disease that damages plants or something that spoils things	A blight destroyed most of the potato crop that year.
bombard	to attack with many things at once or ask many questions	Reporters bombarded the mayor with questions about the new park.
bounty	a large amount of something, or a reward offered	The autumn harvest brought a bounty of fruits and vegetables.
capitalize	to use something to your advantage or to write in capital letters	The team tried to capitalize on their early lead in the game.
capricious	changing mood or behavior suddenly without reason	The capricious weather went from sunny to stormy in minutes.
captivating	so interesting that you cannot look away	The captivating story kept me reading until midnight.
catastrophic	causing sudden great damage or suffering	The catastrophic earthquake destroyed hundreds of buildings.
caustic	able to burn or damage by chemical action, or very critical	The caustic cleaning chemical came with a safety warning.
cessation	the stopping or ending of something	The cessation of rain brought people back outside.
chronological	arranged in the order that things happened in time	The biography tells the story in chronological order from earliest to latest events.
circumscribe	to draw a line around or to limit something	The rules circumscribe what students can do during lunch break.
clamber	to climb with difficulty using both hands and feet	The children clambered over the rocky hillside to reach the top.
clandestine	done secretly or kept hidden	The spies held a clandestine meeting in the back of the bookstore.
coalesce	to come together and form one group or thing	Several small streams coalesce into a river at the bottom of the valley.
cogent	clear, logical, and convincing	She made a cogent argument for why recess should be longer.
cognition	the mental process of gaining knowledge through thinking	Reading puzzles helps improve cognition and problem-solving skills.
coherence	the quality of being logical and consistent	The essay lacked coherence; the thoughts jumped around randomly.
commemoration	something done to recall an important person or event	The statue was built in commemoration of the town's founder.
commencement	the start of something or a graduation ceremony	The commencement of the school year always feels exciting.
compendium	a collection of detailed facts on a subject	The nature compendium had facts about every bird species in the state.
complacency	a feeling of satisfaction that stops you from trying harder	Complacency after winning the first game led to losing the second.
complementary	combining well with something to make it better or complete	The blue and orange decorations were complementary colors.
compliance	doing what you are asked or ordered to do	The school expects compliance with safety rules at all times.
concession	something you agree to give up in order to end a disagreement	Both sides made concessions to reach a fair agreement.
concord	a state of agreement and harmony	The two rival teams reached concord and agreed to share the field.
condemnation	strong disapproval or declaring something is wrong	The condemnation of bullying was clear in the principal's speech.
condescending	acting as if you are better or smarter than other people	His condescending tone made his classmates feel insulted.
confluence	a place where two rivers meet or where things come together	The town was built at the confluence of two major rivers.
conjecture	a guess or opinion based on incomplete facts	Without proof, his theory remained just a conjecture.
conscription	requiring people by law to serve in the military	During the war, conscription meant every young man had to join the army.
consecrate	to officially make something holy or dedicate it to a purpose	The town gathered to consecrate the new memorial garden.
consequential	important or having big results	The judge's consequential decision changed the law for everyone.
conservatory	a glass building where plants are grown or a school for music	The conservatory was filled with tropical plants and flowers.
consolidation	combining things into a single more effective whole	The consolidation of three small schools into one larger school saved money.
constituency	a group of voters in a particular district	The politician visited his constituency to listen to their concerns.
constitutional	about a country's most important rules and laws	Freedom of speech is a constitutional right in the United States.
consultation	a meeting to discuss something or get advice	The doctor scheduled a consultation to discuss the test results.
consummate	very skilled or perfect in every way	She was a consummate performer who never made a mistake on stage.
contagious	able to spread from one person to another	The flu is contagious, so stay home if you feel sick.
contemplation	deep or careful thought about something	After much contemplation, she chose which college to attend.
continuity	the state of going on without interruption	The continuity of the TV series was broken when they changed actors.
contradiction	a situation where two things cannot both be true	Saying you love animals but mistreating them is a contradiction.
copious	large in quantity or amount	She took copious notes during the lecture to study later.
cordial	warm and friendly	The host gave us a cordial welcome when we arrived at the party.
corroborate	to confirm or support something with proof	The witness was able to corroborate the story told by the victim.
creed	a set of beliefs or principles that guide a person's life	Their family creed was to always help neighbors in need.
culpable	deserving blame for something wrong	The student who started the food fight was culpable for the mess.
cynical	believing that people act only for selfish reasons	He was cynical about the new rule, thinking it only helped teachers.
daunting	seeming difficult and scary to deal with	Climbing the tall mountain was a daunting challenge for the hikers.
decorum	polite and proper behavior in a formal setting	Students were reminded to show decorum during the assembly.
defunct	no longer existing or working	The defunct factory had been closed for over ten years.
delineate	to describe or draw something in careful detail	The map delineated the borders between the three countries.
demeanor	the way a person looks and behaves	His calm demeanor made everyone feel less nervous.
depiction	a drawing, painting, or description of something	The book included a detailed depiction of life in ancient Rome.
depletion	the reduction or using up of a resource	The depletion of fish in the lake worried local fishermen.
deportation	forcing someone to leave a country	The history lesson covered the deportation of people during the war.
deprivation	the state of not having something that is needed	Sleep deprivation makes it hard to concentrate in school.
derogatory	showing disrespect or a low view of someone	Making derogatory comments about others is never acceptable.
deterrent	a thing that stops people from taking action	The alarm system acted as a deterrent against burglars.
dexterity	skill and ease in using your hands or body	The surgeon needed great dexterity to perform the delicate operation.
dichotomy	a division into two completely different things	There is a dichotomy between what he says and what he does.
dilapidated	old and in very bad condition	The dilapidated house had broken windows and a sagging roof.
diligence	careful and steady effort over time	Through diligence and hard work, he improved his grades significantly.
diminutive	extremely small or tiny	The diminutive hummingbird was barely bigger than my thumb.
disclaimer	a statement saying you are not responsible for something	The product had a disclaimer warning that results may vary.
discrepancy	a difference between two things that should be the same	There was a discrepancy between the two reports about what happened.
dismantle	to take something apart piece by piece	The workers dismantled the old playground to build a new one.
disparity	a big difference or inequality between things	The disparity in scores between the two teams was huge.
dissolution	the breaking up or ending of something	The dissolution of the band upset their many fans.
echelon	a level or rank in a group	Only the top echelon of the firm knew about the secret project.
edifice	a large and impressive building	The stone edifice of the courthouse dominated the town square.
egalitarian	believing that all people should have equal rights	The egalitarian society gave all an equal voice in decisions.
elicit	to draw out a response or information from someone	The funny video elicited laughter from the whole class.
emblem	a symbol or design that stands for something	The eagle is an emblem of the United States.
eradicate	to completely destroy or get rid of something	Scientists worked hard to eradicate the disease from the region.
esteem	a high opinion of someone because of their good qualities	The town held the volunteer firefighters in high esteem.
ethical	about what is right and wrong in how people act	Returning lost money is the ethical thing to do.
etiquette	the rules of polite behavior in society	Table etiquette includes not talking with your mouth full.
eulogy	a speech praising someone who has recently died	The family friend delivered a touching eulogy at the memorial.
excise	to cut something out or remove it	The editor excised the boring paragraphs from the article.
exclamation	a sudden cry or remark expressing surprise or what you feel	"Wow!" is an exclamation that shows surprise or amazement.
exemplary	serving as a perfect example for others to follow	Her exemplary behavior earned her the good citizenship award.
exemption	being free from a rule or duty that others must follow	Students with allergies got an exemption from the peanut snack rule.
exodus	a mass departure of people from a place	There was an exodus from the city when the hurricane warning came.
expedient	helpful or useful for a specific purpose, even if not fully fair	Taking a shortcut seemed expedient but turned out to be longer.
exploitation	treating someone not fairly to benefit from their work	The exploitation of workers who were paid unfairly led to new labor laws.
exquisite	very lovely and delicate	The exquisite painting showed every tiny detail of the flower.
fallacy	a false thought or a mistake in reasoning	It is a fallacy that goldfish only have a three-second memory.
feasibility	how possible and practical something is to do	The team studied the feasibility of building a treehouse in the schoolyard.
fervent	having very strong feelings about something	The fans gave a fervent cheer when their team scored.
flagrant	shockingly bad and obvious	Copying someone's homework is a flagrant violation of school rules.
fledgling	a young bird learning to fly; also something new and inexperienced	The fledgling company was just starting to find its first customers.
forbearance	patient self-control and tolerance	She showed forbearance by not getting angry at her little brother's mess.
forgo	to choose to give up something you could have or enjoy	He decided to forgo dessert, so he could save room for the main course.
frivolous	not important or serious; silly	Buying toys with lunch money seemed like a frivolous decision.
gentry	people of high social class just below the nobility	The local gentry owned large farms throughout the countryside.
gluttony	eating or consuming far more than you need	Eating an entire cake by yourself is an act of gluttony.
harmonious	working well together without conflict	The harmonious bond between the two classes made the project fun.
hypocrisy	pretending to believe something or behave in a way that you do not	It is hypocrisy to tell others to be kind while being mean yourself.
immunity	protection from disease or being free from a duty	The vaccine gives immunity against the flu virus.
impasse	a situation where no progress can be made	The negotiation reached an impasse when neither side would compromise.
impeachment	the process of charging a state official with wrongdoing	The impeachment proceedings were broadcast on television.
impromptu	done without planning or getting ready	The teacher gave an impromptu quiz that surprised everyone.
impunity	freedom from punishment for doing something wrong	The bully acted with impunity because no one reported his behavior.
inadvertent	not done on purpose; accidental	The inadvertent mistake on the form caused a week-long delay.
inception	the beginning or start of something	Since its inception, the club has grown from five to fifty members.
inclination	a tendency or desire to do something	His inclination toward science led him to join the robotics club.
indictment	a formal charge of a serious crime	The grand jury issued an indictment against the accused person.
indignation	anger caused by something that seems unfair	The unfair rule filled the students with indignation.
inertia	the tendency of something to resist change in motion	A ball at rest stays at rest because of inertia until a force moves it.
infallible	never making mistakes or failing	No human is infallible—everyone makes mistakes sometimes.
inference	a conclusion reached based on proof and reasoning	Based on the wet ground, her inference was that it had rained overnight.
infringement	breaking a rule or law, or violating someone's rights	Copying a book without permission is an infringement of copyright.
inquisitive	eager to learn and asking lots of questions	The inquisitive child asked why the sky was blue.
insatiable	impossible to satisfy because you always want more	His insatiable appetite for books meant he read one every two days.
insolvency	the state of not having enough money to pay debts	The company's insolvency meant it could not pay its workers.
integration	combining things so they work as a unified whole	The integration of art and science made the lesson more engaging.
intervention	stepping in to stop or change what is happening	The teacher's intervention stopped the argument from getting worse.
intimidation	frightening someone to make them do what you want	Bullying through intimidation is never acceptable behavior.
itinerary	a planned route or schedule for a trip	Our itinerary included stops in three different cities over five days.
jubilee	a special celebration for an important anniversary	The school held a jubilee to mark its fiftieth year.
jurisprudence	the study and theory of law	The professor taught jurisprudence at the law school.
lenient	not strict in punishing or judging people	The lenient teacher gave extra time for students to finish their work.
liberation	setting prisoners or captives free	The liberation of the prisoners was cheered across the country.
luminous	producing or reflecting bright light	The luminous full moon lit up the entire night sky.
