calculate	to use math to find an answer	She used a pencil and paper to calculate how much money she needed for the trip.
correct	to fix a mistake	The teacher asked him to correct the spelling errors on his paper with a red pen.
damage	to hurt or break something	The hailstorm was so strong it could damage the car's windshield.
decrease	to make something smaller or less	The temperature will decrease tonight, so bring a warm jacket.
define	to explain what a word means	The dictionary will define any word you don't understand.
discuss	to talk about something with others	The class sat in a circle to discuss what they thought about the book's ending.
edit	to fix and improve writing	Before turning in her story, she took time to edit the sentences that didn't sound right.
engage	to get involved in something	The fun science experiment helped engage even the shyest students in the lesson.
favor	to like or support one thing over another	Most students favor chocolate ice cream over vanilla when given a choice.
flee	to run away from danger	The rabbits flee into the bushes whenever they hear a loud noise.
forgive	to stop being angry at someone for what they did	After her brother apologized for breaking her toy, she decided to forgive him.
furnish	to put furniture or supplies in a place	They bought a desk, a lamp, and a rug to furnish the empty bedroom.
intend	to plan or mean to do something	I intend to wake up early tomorrow, so I can watch the sunrise from the hill.
irritate	to bother someone until they feel annoyed	The buzzing mosquito near his ear started to irritate him while he tried to sleep.
marvel	to look at something with wonder and surprise	Visitors marvel at the huge blue whale hanging from the museum ceiling.
persuade	to convince someone to agree	She tried to persuade her dad to get a puppy by showing him how responsible she could be.
postpone	to move something to a later time	Because of the thunderstorm, they had to postpone the soccer game until next Saturday.
prove	to show that something is really true	The experiment will prove that plants grow faster in sunlight than in the dark.
provide	to give people what they need	The food bank works hard to provide meals for families who don't have enough to eat.
punish	to make someone pay for breaking a rule	Dad will punish us by taking away screen time if we don't finish our chores.
satisfy	to give someone what they need or want	One big slice of pizza was enough to satisfy her hunger after the long soccer game.
seek	to try to find or look for something	The lost puppy seemed to seek shelter under the porch when it started raining.
settle	to decide or agree on something after talking	The two friends shook hands to settle their argument about whose turn it was.
skim	to read quickly looking for the main ideas	Before the test, he decided to skim the chapter headings to remember the important facts.
snatch	to grab something fast	The seagull tried to snatch the sandwich right out of her hand at the beach.
soar	to fly high up in the sky	We watched the hawk soar above the valley without flapping its wings even once.
startle	to surprise someone suddenly	The loud pop of the balloon made everyone startle and jump from their seats.
strengthen	to become or make something stronger	Eating healthy food and exercising every day will strengthen your bones and muscles.
terrify	to scare someone very badly	The loud roar of the lion at the zoo can terrify visitors standing too close.
trace	to follow a path or copy by drawing over lines	The detective tried to trace the footprints in the snow back to the house.
translate	to change words from one language to another	Her grandmother speaks Spanish, so Maria helps translate the letters into English.
weaken	to make something less strong	Too much rain can weaken the old wooden bridge until it's no longer safe to cross.
apparent	easy to notice or figure out	It was apparent he was tired because he kept yawning and rubbing his eyes.
artificial	made by people, not found in nature	The flowers on the table look real, but they are actually artificial and made of silk.
automatic	working by itself without a person doing it	The automatic doors at the grocery store open by themselves when you walk close.
careless	not paying attention, making mistakes	His careless writing was so messy that even he couldn't read what it said.
casual	relaxed and not fancy	It's a casual party, so you can wear jeans and a t-shirt instead of a dress.
central	in the middle or most important part of something	The fountain sits in the central part of the park where all the paths meet.
dramatic	exciting and full of strong feelings	The story had a dramatic ending where the hero saved everyone at the very last second.
due	expected at a certain time	The library books are due on Friday, so return them before then, or you'll pay a fine.
eventual	happening at the end after a long time	After years of practice, his eventual victory in the big spelling bee made his whole family cheer.
excessive	way too much, more than needed	The excessive noise from the construction made it impossible to hear the teacher talk.
exotic	unusual and from a faraway place	The zoo got an exotic bird from the rainforest with bright blue and gold feathers.
favorable	good or helpful for what you want	The favorable weather—sunny with a cool breeze—made it a perfect day for the race.
formal	following strict rules or looking very fancy	Everyone wore suits and dresses to the formal dinner at the fancy restaurant.
gracious	kind and polite, especially to guests	The gracious host made sure every visitor had food, a drink, and a comfortable chair.
grand	large and impressive	The grand staircase in the old mansion was wide enough for ten people to walk side by side.
grave	very serious and important	The principal spoke in a grave voice when she told students about the new safety rules.
hasty	done too fast without thinking carefully	His hasty decision to skip breakfast left him hungry and tired all morning long.
historic	very important in history, famous from the past	We visited the historic building where the first president signed important papers long ago.
horizontal	going from side to side, flat like the ground	Draw a horizontal line across your paper from the left edge to the right edge.
hostile	very unfriendly, ready to fight	The stray cat gave us a hostile hiss when we got too close to where it was hiding.
ignorant	not knowing about something because you never learned it	He was ignorant of the rule about no running in the hall because he was a new student.
illegal	against the law, not allowed	Parking in front of a fire hydrant is illegal, and you will get a ticket from the police.
imaginary	made up in your mind, not real	She told stories about her imaginary friend, a purple dragon who could talk and fly.
immense	extremely large, huge	The immense blue whale is so big that its heart is the size of a small car.
immune	protected from getting sick	The vaccine helped her body become immune to the disease.
inferior	not as good as something else	The cheap paint was inferior to the expensive brand—it faded after just one rainstorm.
infinite	going on for all time, having no end	When she looked up at the stars, space seemed infinite and endless.
influential	having the power to change what people think or do	The influential teacher changed many students' lives by believing in them when no one else did.
interior	the inside part of something	The interior of the cave was dark and cool compared to the hot sunny entrance.
isolated	alone and far away from others	The isolated cabin in the mountains had no neighbors for miles in any direction.
legal	allowed by the law	It is legal to ride your bike on the street, but you must follow traffic rules.
legitimate	real and allowed, following the rules	He had a legitimate reason for being late—his bus broke down on the highway.
literary	about books, authors, and writing	The literary award goes to the student who writes the best short story each year.
logical	making sense, following clear thinking	The logical next step after getting dressed is to eat breakfast.
mechanical	made with moving parts like a machine	The mechanical clock on the wall has tiny gears inside that make the hands turn.
microscopic	so tiny you need a special tool to see it	The microscopic creatures in pond water are too small to see without a microscope.
mobile	able to move around with ease	A phone is called mobile because you can carry it anywhere, unlike an old desk phone.
moderate	not too much and not too little, in between	The moderate heat of seventy degrees felt comfortable—not hot and not cold.
naked	not covered; without any covering	The naked trees in winter show their branches clearly against the gray sky.
native	belonging to a place by birth or origin	The bald eagle is native to North America—it has always lived here and nowhere else.
naval	about warships and the navy	The naval base had huge gray ships lined up along the dock near the ocean.
normal	usual and expected, nothing strange	It's completely normal to feel nervous on the first day at a new school.
occasional	happening sometimes but not often	We hear the occasional owl hooting outside at night, maybe once or twice a week.
official	approved by people in charge	The principal made an official announcement that school would close early for the storm.
original	the first one, not a copy	This is the original painting by the artist—all the others hanging here are just copies.
partial	not complete, only part of the whole	We could only see a partial rainbow because clouds were blocking the other half.
personal	belonging to one person, private	Her diary is personal, so she keeps it locked in a drawer where no one else can read it.
political	about government and how a country is run	The political leaders met to discuss new rules that would affect every family in the city.
portable	easy to carry from place to place	She brought a portable fan to the picnic because there was no shade from the hot sun.
precise	very exact and careful about details	Computers need precise instructions—one wrong character and nothing works.
primitive	from a very early time, simple and basic	The primitive tools made of stone were used thousands of years before metal was discovered.
principal	the most important or main one	The principal reason for the field trip is to see real dinosaur fossils at the museum.
private	just for you, not for others to see or know	She wrote in her private journal every night about her thoughts and secret wishes.
probable	likely to happen or be true	Since he studied all week, it's probable that he'll do well on tomorrow's test.
productive	getting a lot done in a good way	It was a productive afternoon—she finished homework, cleaned her room, and walked the dog.
professional	doing something as a paid job with skill	The professional chef made the birthday cake look like a real castle with towers and a drawbridge.
profound	very deep and meaningful	The book had a profound message about kindness that made her think for days afterward.
prominent	easy to notice, standing out from the rest	The prominent red barn on the hill can be seen from miles away on the highway.
proper	correct and following the right way to do things	The proper way to hold a pencil is between your thumb and first two fingers.
prosperous	doing well and having plenty	The prosperous farm produced so much corn that they shared it with the whole town.
radical	very different from what is normal or expected	Painting the school bright purple was a radical thought that surprised all the parents.
reckless	doing risky things without caring about safety	Riding a bike with no hands on a busy street is reckless and could cause a bad crash.
regional	from or about one specific area	The regional food fair featured dishes from all the towns near our city.
abode	a place where someone lives	The cozy cabin became their abode for the whole summer.
acacia	a tree or bush with small leaves found in warm places	Giraffes love to eat leaves from the tall acacia trees on the African plain.
adage	an old, well-known saying that shares wisdom	The adage 'practice makes perfect' reminds us to keep trying.
adrift	floating on water without being tied or steered	The small boat was adrift on the lake after the rope broke loose.
afflict	to cause pain or suffering	A bad cold afflicted half the students, and many stayed home from school.
ajar	slightly open	She left the door ajar, so the cat could come and go as it pleased.
akin	similar to something else	Her love of painting is akin to her brother's love of drawing.
alcove	a small area set into a wall or room	He curled up in the cozy alcove by the window and read his book.
alms	money or food given to help poor people	The kind man gave alms to anyone who needed a warm meal.
alpine	found in or near high mountains	Alpine flowers bloom in bright colors even in the rocky mountain soil.
amble	to walk slowly and in a relaxed way	They ambled through the park, stopping to watch the ducks in the pond.
ambrosia	food that tastes wonderful, or the food of the gods in old stories	The fruit salad was pure ambrosia on a hot summer afternoon.
amiable	friendly and pleasant	The amiable shopkeeper always greeted customers with a big smile.
amplify	to make a sound or signal louder or stronger	The speaker amplified the singer's voice, so everyone in the park could hear.
amulet	a small object worn for protection or good luck	In the story, the hero wore a magic amulet around her neck.
anagram	a word made by mixing up the letters of another word	The word 'listen' is an anagram of 'silent.'
angular	having sharp corners or angles	The angular building had pointy rooftops and zigzag walls.
antiquated	very old and no longer useful	The antiquated computer was so slow it took five minutes just to turn on.
apex	the very top or highest point	The climbers finally reached the apex of the mountain at noon.
apprentice	a person learning a skill from an expert	The young apprentice watched the baker shape bread dough every morning.
arbiter	a person chosen to settle a fight	The teacher acted as an arbiter when two students argued about the game rules.
ardor	strong enthusiasm or passion	She practiced piano with such ardor that she learned three songs in one week.
aright	in the correct way	Let me read the instructions again to make sure I understand them aright.
assail	to attack someone with force or harsh words	The strong winds assailed the ship as it crossed the rough sea.
atoll	a ring-shaped island around a shallow lake of sea water	The atoll was a perfect circle of white sand with clear blue water in the middle.
atone	to do something good to make up for a mistake	He atoned for breaking the vase by gluing it back together and buying flowers.
atrium	a large open space inside a building, often with a glass roof	The hotel atrium had tall palm trees and a fountain in the center.
aura	a feeling or quality that seems to surround a person or place	The old library had an aura of mystery with its dusty shelves and dim lights.
awning	a sheet of material over a door or window to block sun or rain	They sat under the shop awning to stay dry during the sudden rain shower.
babble	to talk quickly about things that do not make sense	The excited toddler babbled with joy, mixing up words and giggles.
badger	to keep asking someone to do something in an annoying way	She badgered her dad to take her to the zoo until he finally said yes.
baffle	to confuse someone completely	The magic trick baffled the audience—nobody could figure out how it worked.
bamboo	a tall, strong grass with hollow stems	Pandas spend most of their day eating bamboo in the misty forests of China.
bane	something that causes great trouble or misery	Mosquitoes are the bane of every summer camping trip.
banter	playful, friendly talk between people	The two friends enjoyed their banter, trading jokes as they walked to school.
barbecue	cooking food over a fire or grill outdoors	Dad fired up the barbecue to cook burgers and corn for the family picnic.
barge	a wide, flat boat used to carry heavy loads on rivers	The barge carried tons of grain slowly down the wide river.
barley	a grain plant used to make bread, soup, and animal feed	Farmers harvested golden barley from the fields in late summer.
barnacle	a small sea creature that sticks to rocks and ship bottoms	The old dock was covered in barnacles that clung tightly to the wood.
baroque	a very fancy, decorated style of art from the 1600s and 1700s	The baroque palace had gold ceilings, painted angels, and curving staircases.
barracks	buildings where soldiers live	The soldiers returned to the barracks after a long day of training.
bastion	strong place that protects something important	The library was the last bastion of quiet in the noisy school.
batter	a mixture of flour, eggs, and milk used for cooking	She stirred the pancake batter until it was smooth and poured it on the griddle.
bedlam	a scene of wild noise and confusion	The classroom was bedlam when the hamster escaped from its cage.
belfry	the part of a tower where bells hang	The old church belfry had three bronze bells that rang every Sunday.
berth	a bed on a ship or train, or a place where a ship docks	He climbed into the top berth of the train and fell asleep to the rocking motion.
billow	to swell out like a large wave or cloud	The white curtains billowed in the breeze coming through the open window.
bistro	a small, casual restaurant	They stopped at a little bistro for soup and sandwiches after their walk.
bivouac	a temporary camp without tents	The hikers set up a bivouac under the stars when darkness fell too quickly.
blazon	to display something boldly	The team's name was blazoned across the front of their bright blue jerseys.
blotch	an uneven patch or mark	A blotch of ink landed on his white shirt when the pen leaked.
boggle	to be so amazed that your mind can hardly take it in	The number of stars in the sky boggles the mind when you really think about it.
boon	something very helpful or welcome	The new bus route was a boon to students who lived far from school.
boulder	a very large rock	A huge boulder blocked the hiking trail after the landslide.
brawn	physical strength and muscles	Moving the heavy piano needed brawn and teamwork.
breadth	the distance from one side to the other	The breadth of the river was so wide they needed a boat to cross.
brim	the top edge of a cup or the edge of a hat	The cup was filled to the brim with hot cocoa.
broach	to bring up a topic for discussion	He finally broached the subject of getting a puppy at dinner that night.
brooch	a decorative pin worn on clothing	Grandma pinned a sparkling brooch shaped like a butterfly on her jacket.
buccaneer	a pirate, especially one from long ago	The storybook buccaneer sailed the seas looking for treasure and adventure.
buffet	a meal where food is set out and people serve themselves	The party had a huge buffet with pizza, fruit, and chocolate cake.
buggy	a small, light vehicle pulled by a horse	They rode through the countryside in a horse-drawn buggy.
bulge	to swell outward	His pockets bulged with all the acorns he had collected in the park.
buoyancy	the ability to float in water or air	The life jacket's buoyancy kept the swimmer floating above the water.
burgeon	to grow or develop quickly	Flowers burgeoned in the garden after the first warm spring rains.
bustle	busy, noisy activity	The market was full of bustle as shoppers hurried from stall to stall.
buttress	a stone or brick support built against a wall	The old cathedral had huge buttresses holding up its tall stone walls.
cache	a hidden store of things	The squirrel kept a cache of acorns buried under the oak tree.
cairn	a pile of stones used as a marker	Hikers built a cairn at the top of the trail to mark the right path.
caldron	a large metal pot used for cooking over a fire	The witch in the fairy tale stirred a bubbling caldron of green soup.
canter	a smooth run by a horse, faster than a trot but slower than a gallop	The horse broke into a gentle canter across the grassy meadow.
capsize	to turn over in the water	A big wave capsized the small sailboat, dumping everyone into the lake.
capsule	a small sealed container, or a tiny case holding medicine	The astronaut climbed into the space capsule and prepared for launch.
carafe	a wide-mouth glass bottle for serving water or juice	The waiter brought a carafe of fresh orange juice to the breakfast table.
chaplain	a religious leader who works in a hospital, school, or army	The hospital chaplain visited patients to offer comfort and kind words.
char	to burn something until it turns black	The toast was charred because she forgot to take it out of the toaster.
cherub	a small angel, often shown as a chubby baby with wings	The painting showed a cherub flying among the clouds with tiny golden wings.
cinch	something that is very easy to do, no trouble at all	The spelling test was a cinch because she had studied every word.
citadel	a strong fortress built to protect a city	The ancient citadel stood atop the hill, guarding the town below.
clad	wearing or covered with something	The knight was clad in shining silver armor from head to toe.
clatter	a loud rattling noise	The pots and pans made a terrible clatter when they fell off the shelf.
claustrophobia	a fear of being in small, closed spaces	His claustrophobia made it hard for him to ride in tiny elevators.
cleave	to split something apart with force	The lumberjack cleaved the log with one powerful swing of the axe.
cleft	a narrow crack or opening in rock or ground	A small plant grew out of a cleft in the stone wall.
clench	to close tightly, like a fist or teeth	He clenched his fists and took a deep breath before the big race.
cobalt	a bright blue color, or a hard shiny metal	The artist mixed cobalt paint to create a vivid blue sky in her picture.
coil	to wind into circles or rings	The garden hose was coiled neatly beside the back door.
colander	a bowl with holes used to drain water from food	She poured the pasta into a colander in the sink to drain the hot water.
collide	to crash into something or each other with force	The two toy cars collided in the middle of the track and bounced apart.
colonnade	a row of columns holding up a roof or arch	The colonnade along the museum entrance had twenty tall marble columns.
commode	a piece of furniture with drawers for storing things	She stored extra blankets inside the old wooden commode in the hallway.
compulsion	a strong urge to do something that is hard to control	He felt a compulsion to check his backpack three times before leaving home.
condiment	something added to food for extra flavor like ketchup or mustard	The table had every condiment you could want—ketchup, mustard, and hot sauce.
conduit	a pipe or channel that carries water or wires	The conduit under the street carries water from the lake to the town.
confide	to tell someone a secret because you trust them	He confided in his best friend about his plan to try out for the play.
conifer	a tree that has cones and keeps its leaves all year	Pine, spruce, and fir are all conifers that stay green even in winter.
consort	a partner, especially of a king or queen	The queen and her consort waved to the cheering crowd from the balcony.
contour	the outline or shape of something	The contour of the mountain looked like a sleeping giant against the sunset.
convoy	a group of vehicles traveling together for safety	A convoy of trucks carried supplies to the flooded town.
cornet	a small brass instrument similar to a trumpet	The boy played a lively tune on his shiny cornet during the school concert.
corona	a ring of light around the sun or moon	During the eclipse, a bright corona glowed around the dark circle of the moon.
corsair	a pirate or a pirate ship	The corsair flew a black flag as it chased merchant ships across the sea.
cosmos	the universe and everything in it	Scientists use telescopes to explore the mysteries of the cosmos.
countenance	a person's face or facial expression	Her cheerful countenance brightened up the whole room.
cranny	a small, narrow opening or crack	The mouse squeezed through a cranny in the old stone wall.
cringe	to pull back or shrink away because you feel scared or uneasy	He cringed when the teacher called his name to read aloud.
crock	a thick pot or jar made of clay	Grandma kept her homemade pickles in a big brown crock on the counter.
crone	an old woman, often in fairy tales	The crone in the story lived alone in a cottage deep in the dark woods.
crouton	a small cube of toasted bread put on soup or salad	He sprinkled crunchy croutons on his Caesar salad.
crux	the most important point of a problem	The crux of the argument was whether recess should be longer or shorter.
